Year,ElectionType,Chamber,Seats,GaingingParty,NumSpecialElections
1944,General,House,.,.,.
1946,General,House,56,R,.
1948,General,House,75,D,.
1950,General,House,28,R,.
1952,General,House,22,R,.
1954,General,House,19,D,.
1956,General,House,2,D,.
1958,General,House,49,D,.
1960,General,House,22,R,.
1962,General,House,1,R,.
1964,General,House,37,D,.
1966,General,House,47,R,.
1968,General,House,5,R,.
1970,General,House,12,D,.
1972,General,House,12,R,.
1974,General,House,49,D,.
1976,General,House,1,D,.
1978,General,House,15,R,.
1980,General,House,34,R,.
1982,General,House,26,D,.
1984,General,House,14,R,.
1986,General,House,5,D,.
1988,General,House,2,D,.
1990,General,House,9,D,.
1992,General,House,10,R,.
1994,General,House,52,R,.
1996,General,House,3,D,.
1998,General,House,5,D,.
2000,General,House,2,D,.
2002,General,House,8,R,.
2004,General,House,3,R,.
2006,General,House,31,D,.
2008,General,House,21,D,.
2010,General,House,63,R,.
2012,General,House,8,D,.
2014,General,House,13,R,.
1944,General,Senate,.,.,.
1946,General,Senate,13,R,.
1948,General,Senate,9,D,.
1950,General,Senate,5,R,.
1952,General,Senate,1,R,.
1954,General,Senate,2,D,.
1956,General,Senate,1,D,.
1958,General,Senate,15,D,.
1960,General,Senate,2,R,.
1962,General,Senate,3,D,.
1964,General,Senate,1,D,.
1966,General,Senate,4,R,.
1968,General,Senate,6,R,.
1970,General,Senate,2,R,.
1972,General,Senate,2,D,.
1974,General,Senate,4,D,.
1976,General,Senate,0,.,.
1978,General,Senate,3,R,.
1980,General,Senate,12,R,.
1982,General,Senate,1,R,.
1984,General,Senate,2,D,.
1986,General,Senate,8,D,.
1988,General,Senate,0,.,.
1990,General,Senate,1,D,.
1992,General,Senate,0,.,.
1994,General,Senate,8,R,.
1996,General,Senate,2,R,.
1998,General,Senate,0,.,.
2000,General,Senate,4,D,.
2002,General,Senate,1,R,.
2004,General,Senate,4,R,.
2006,General,Senate,6,D,.
2008,General,Senate,8,D,.
2010,General,Senate,6,R,.
2012,General,Senate,2,D,.
2014,General,Senate,9,R,.
1944,Special,House,2,R,13
1946,Special,House,0,.,16
1948,Special,House,0,.,10
1950,Special,House,3,R,13
1952,Special,House,2,D,8
1954,Special,House,0,.,2
1956,Special,House,0,.,10
1958,Special,House,1,R,7
1960,Special,House,0,.,12
1962,Special,House,2,R,9
1964,Special,House,0,.,8
1966,Special,House,1,R,5
1968,Special,House,3,D,9
1970,Special,House,0,.,9
1972,Special,House,4,D,10
1974,Special,House,0,.,6
1976,Special,House,4,R,6
1978,Special,House,1,R,6
1980,Special,House,1,D,8
1982,Special,House,1,R,7
1984,Special,House,0,.,4
1986,Special,House,1,R,6
1988,Special,House,1,D,11
1990,Special,House,1,D,6
1992,Special,House,2,R,7
1994,Special,House,1,R,5
1996,Special,House,0,.,8
1998,Special,House,0,.,3
2000,Special,House,1,R,9
2002,Special,House,1,D,3
2004,Special,House,0,.,3
2006,Special,House,3,D,13
2008,Special,House,1,R,9
2010,Special,House,0,.,6
2012,Special,House,0,.,8
2014,Special,House,0,.,4
1944,Special,Senate,3,R,8
1946,Special,Senate,0,.,3
1948,Special,Senate,2,R,6
1950,Special,Senate,2,R,4
1952,Special,Senate,0,.,9
1954,Special,Senate,2,R,3
1956,Special,Senate,1,D,4
1958,Special,Senate,1,D,3
1960,Special,Senate,0,.,6
1962,Special,Senate,0,.,2
1964,Special,Senate,1,R,3
1966,Special,Senate,0,.,0
1968,Special,Senate,0,.,2
1970,Special,Senate,0,.,2
1972,Special,Senate,0,.,0
1974,Special,Senate,1,D,1
1976,Special,Senate,1,R,2
1978,Special,Senate,0,.,0
1980,Special,Senate,0,.,0
1982,Special,Senate,1,R,1
1984,Special,Senate,1,D,1
1986,Special,Senate,0,.,0
1988,Special,Senate,0,.,1
1990,Special,Senate,2,D,3
1992,Special,Senate,1,R,2
1994,Special,Senate,1,D,1
1996,Special,Senate,0,.,0
1998,Special,Senate,0,.,0
2000,Special,Senate,0,.,0
2002,Special,Senate,0,.,0
2004,Special,Senate,0,.,0
2006,Special,Senate,0,.,0
2008,Special,Senate,1,R,1
2010,Special,Senate,0,.,0
2012,Special,Senate,0,.,2
2014,Special,Senate,0,.,0
